date,trash
2023/04/03,プラスチック製容器包装類
2023/04/04,燃やせるごみ
2023/04/05,衣類・布類
2023/04/06,古紙類
2023/04/07,燃やせるごみ
2023/04/10,プラスチック製容器包装類
2023/04/11,燃やせるごみ
2023/04/12,燃やせないごみ
2023/04/13,"びん・かん・ペットボトル
廃食用油・金属油"
2023/04/14,燃やせるごみ
2023/04/17,プラスチック製容器包装類
2023/04/18,燃やせるごみ
2023/04/19,収集なし
2023/04/20,古紙類
2023/04/21,燃やせるごみ
2023/04/24,プラスチック製容器包装類
2023/04/25,燃やせるごみ
2023/04/26,燃やせないごみ
2023/04/27,"びん・かん・ペットボトル
廃食用油・金属油"
2023/04/28,燃やせるごみ
2023/05/01,プラスチック製容器包装類
2023/05/02,燃やせるごみ
2023/05/03,衣類・布類
2023/05/04,古紙類
2023/05/05,燃やせるごみ
2023/05/08,プラスチック製容器包装類
2023/05/09,燃やせるごみ
2023/05/10,燃やせないごみ
2023/05/11,"びん・かん・ペットボトル
廃食用油・金属油"
2023/05/12,燃やせるごみ
2023/05/15,プラスチック製容器包装類
2023/05/16,燃やせるごみ
2023/05/17,収集なし
2023/05/18,古紙類
2023/05/19,燃やせるごみ
2023/05/22,プラスチック製容器包装類
2023/05/23,燃やせるごみ
2023/05/24,燃やせないごみ
2023/05/25,"びん・かん・ペットボトル
廃食用油・金属油"
2023/05/26,燃やせるごみ
2023/05/29,プラスチック製容器包装類
2023/05/30,燃やせるごみ
2023/05/31,収集なし
2023/06/01,古紙類
2023/06/02,燃やせるごみ
2023/06/05,プラスチック製容器包装類
2023/06/06,燃やせるごみ
2023/06/07,衣類・布類
2023/06/08,"びん・かん・ペットボトル
廃食用油・金属油"
2023/06/09,燃やせるごみ
2023/06/12,プラスチック製容器包装類
2023/06/13,燃やせるごみ
2023/06/14,燃やせないごみ
2023/06/15,古紙類
2023/06/16,燃やせるごみ
2023/06/19,プラスチック製容器包装類
2023/06/20,燃やせるごみ
2023/06/21,収集なし
2023/06/22,"びん・かん・ペットボトル
廃食用油・金属油"
2023/06/23,燃やせるごみ
2023/06/26,プラスチック製容器包装類
2023/06/27,燃やせるごみ
2023/06/28,燃やせないごみ
2023/06/29,古紙類
2023/06/30,燃やせるごみ
